name,environmental,social,governance,composite
Lens-S. Remy,25.1,45,27.6,32.8
Aywieres,33.8,45,33.6,37.7
Prieuré de l'Ermite,22.3,65,25.6,38.2
Bonlieu-sur-Rouge,34.8,65,34.3,45.2
Bouchet,34.9,45,34.4,38.3
Orp,6.0,45,14.2,22.1
Wauthier-Braine,32.0,65,32.4,43.7
Vivegnis,37.9,65,36.5,47.0
Abbaye de la Ramée,33.0,65,33.1,44.2
Florival,33.0,65,33.1,44.2
Abbaye Notre-Dame de Soyons,34.4,65,34.1,45.0
Brienne,27.2,45,29.0,34.0
la Deserte Convent (Lyon),27.3,65,29.1,41.0
Maagdendale,31.8,65,32.2,43.5
Sinnich,31.2,65,31.8,43.2
Vallis Coeli,33.8,65,33.6,44.7
Messines,41.7,65,39.2,49.1
Abbaye de Vernaison,35.5,65,34.8,45.6
Orange (S. Pierre),19.5,45,23.6,29.7
Avignon (S. Catherine),30.2,65,31.1,42.6
S. Catherindaal,20.2,45,24.1,30.0
Crecy,9.1,65,16.4,30.9
Petit-Bigard,31.6,55,32.1,39.9
"Les Rosiers (Séchault, Ardennes)",30.9,65,31.6,43.0
Val-Duchesse,24.1,65,26.9,39.3
Notre-Dame-du-Plan,33.2,65,33.2,44.3
Mont-Sainte-Catherine,30.7,65,31.5,42.9
Val-Ste-Agnes,21.5,65,25.0,37.8
Abbaye de Sainte-Barbe-en-Auge,23.0,45,26.1,31.6
Val-Virginal,32.8,45,32.9,37.1
Mont-D'Or,32.8,45,32.9,37.1
Mielen,36.0,65,35.2,45.9
Ter Beeck,31.5,65,32.0,43.4
Val des Vignes,31.5,65,32.0,43.4
Tarascon,24.3,65,27.0,39.4
Salles-en-Beaujolais,27.5,45,29.2,34.1
Arles,8.4,65,15.9,30.5
Albaron,31.1,45,31.8,36.2
Arles (S. Cesaire),71.9,65,60.3,66.0
Vitry-en-Perthois,31.2,45,31.8,36.2
"Les Mazures (Renwez, Ardennes)",29.0,65,30.3,42.0
Notre-Dame-aux-Bois,32.8,65,32.9,44.1
Groeningen,19.6,65,23.7,36.7
Reconfort,31.2,65,31.8,43.2
Leau,17.6,45,22.3,28.6
Ninove,9.1,65,16.4,30.9
Jericho Brussels,21.4,65,25.0,37.7
Mont-Sion,20.5,65,24.3,37.2
Brussells (S. Catherine),31.7,65,32.2,43.5
la Cambre,33.5,45,33.4,37.5
Petegem,37.1,65,36.0,46.5
Valsauve,32.2,65,32.5,43.8
Park Abbey,50.5,65,45.3,54.0
Munsterbilzen Belisia,8.4,65,15.9,30.5
Abbaye de Mercoire,32.8,75,32.9,47.6
Grand-Bigard,38.4,45,36.9,40.3
Louvain,31.6,45,32.1,36.4
Clavas,31.9,65,32.3,43.6
Valduc,31.9,65,32.3,43.6
Parc-les-Dames,32.8,65,32.9,44.1
Abdij van Postel,9.2,65,16.4,30.9
Abbaye de Cortenbergh,39.0,65,37.3,47.6
Hocht,32.6,65,32.8,44.0
Herkenrode,34.6,65,34.2,45.1
Gempe,32.5,65,32.7,43.9
Alost,39.4,65,37.6,47.8
Ten Roosen,32.0,55,32.4,40.2
Abdij van Rotem,31.4,75,32.0,46.8
Merkem,36.6,45,35.6,39.2
Nieuwenrode,9.6,65,16.7,31.1
Deinze Ste-Margeurite,19.6,65,23.7,36.7
Mont-St-Nicolas,20.1,45,24.1,30.0
Autun Saint-Andoche,52.5,65,46.7,55.1
Jully-les-Nonains Abbey,38.1,65,36.7,47.1
la Piete-Dieu,11.8,65,18.2,32.3
Val-Notre-Dame,21.3,65,24.9,37.7
Val-Saint-Bernard,31.6,45,32.1,36.4
Seauve-Benite,37.3,65,36.1,46.6
Rekem,37.9,65,36.5,47.0
Notre-Dame der Elze,6.6,65,14.6,29.4
S. Aubin,33.2,65,33.2,44.3
Bellecombe,37.1,65,36.0,46.5
Tusschenbeek,36.6,65,35.6,46.2
Aubeterre (France),46.2,65,42.3,51.6
Mont-Thabor,19.0,65,23.3,36.4
"Blijdenberg (Mechelen, Belgium)",30.6,65,31.4,42.9
Muizen,23.4,65,26.4,38.9
Charite-les-Lezinnes,13.9,65,19.7,33.5
Hombeek,31.7,65,32.2,43.5
Ales,33.3,65,33.3,44.4
Marcigny Abbey (Saône-et-Loire),41.4,65,39.0,48.9
Hemelsdale,31.5,45,32.0,36.4
Zwijveke,32.3,65,32.6,43.8
Maubeuge,63.6,65,54.5,61.4
Galilee,20.4,45,24.3,30.2
Doue,3.4,65,12.4,27.7
Ghent St-Agnes,20.3,65,24.2,37.1
"Marcilly Abbey (Provency, Yonne)",31.0,65,31.7,43.1
Ghent Ste-Barbe,20.9,45,24.6,30.4
Byloque,32.7,65,32.9,44.1
Ter Hagen,19.2,45,23.4,29.5
Ghent (Franciscan),28.7,45,30.1,34.8
"Le Jardin-Notre-Dame (Pleurs, Vosges)",31.6,65,32.1,43.4
Prieuré de Groenendael,24.0,45,26.8,32.2
Ormont,31.3,65,31.9,43.3
Vignoguol,30.7,65,31.5,42.9
Roosendael Abbey,32.1,75,32.5,47.2
Vredendaal,7.6,65,15.3,30.0
"Béthanie (Veurne, Belgium) – Canonesses",21.1,65,24.8,37.6
"Béthanie (Veurne, Belgium) – Canons",30.6,45,31.4,35.9
Hof ten Vrouwen,37.3,65,36.1,46.6
Sint-Agnesklooster,20.6,65,24.4,37.3
Alden-Eyck,13.2,45,19.2,26.1
Oeteren,32.0,65,32.4,43.7
Amour Dieu (l'),31.5,65,32.0,43.4
Doornzele Abbey,32.0,65,32.4,43.7
Dorisel,32.0,65,32.4,43.7
Quesnoy,31.3,65,31.9,43.3
"Le Savoir-sous-Laon (Laon, Aisne)",31.6,65,32.1,43.4
Montreuil-les-Dames,36.8,65,35.8,46.4
Netlieu,11.6,65,18.1,32.2
la Grâce Abbey (Montmirail),31.9,65,32.3,43.6
Waasmunster,31.5,65,32.0,43.4
Abbaye Saint-Jean-Baptiste de Valenciennes,63.8,45,54.6,54.5
Notre-Dame-de-Nazareth,31.9,65,32.3,43.6
Fontenelles Abbey,32.3,65,32.6,43.8
Belleau,30.8,65,31.6,43.0
Fervacques Abbey,36.6,65,35.6,46.2
Denain,7.6,65,15.3,30.0
Notre-Dame de Jerusalem,17.8,65,22.4,35.7
Hasnon,11.8,65,18.2,32.3
Hamage-les-Marchiennes,8.5,45,15.9,23.5
Mont-Notre-Dame-les-Provins,31.2,65,31.8,43.2
Ghistelles/Gistel,39.2,45,37.4,40.7
Marchiennes,21.6,45,25.1,30.8
"Beaurepaire (Somain, Nord, France)",34.2,65,33.9,44.9
Herentals,21.8,65,25.2,37.9
Premy,34.0,45,33.8,37.8
Stocquoy,9.5,65,16.6,31.1
Eewen,9.5,65,16.6,31.1
Odeghem,38.7,45,37.1,40.4
Spermalie,33.6,45,33.5,37.6
Rouez,4.3,65,13.0,28.2
Cour-Notre-Dame-les-Gouvernay,31.8,65,32.2,43.5
Minderbroeders,43.1,45,40.2,42.9
Flines-l’Abbaye,31.3,65,31.9,43.3
Blesle,51.0,65,45.7,54.3
"S. Maria Magdalena (Barcelona, Spain)",26.0,65,28.2,40.3
"Beaupré (Beaumont-en-Bière, France)",31.6,65,32.1,43.4
Jouarre Abbey,65.3,75,55.7,65.8
"Le Verger (Oisy-le-Verger, Pas-de-Calais)",31.8,65,32.2,43.5
Beaulieu-les-Sin-le-Noble,31.8,65,32.2,43.5
Clermont,41.9,45,39.3,42.2
Douai Abbey,32.3,65,32.6,43.8
Notre-Dame-des-Pres,31.5,65,32.0,43.4
Fatres et sorores de sacco,0.5,65,10.3,26.0
Chamalieres,52.6,45,46.8,48.2
Marquette-lez-Lille Abbey (Nord),31.7,65,32.2,43.5
Monastère de Royat,13.2,45,19.2,26.1
Nonenque,37.1,65,36.0,46.5
"La Merced (Barcelona, Spain)",32.9,75,33.0,47.7
la Joie-Ste Clare (Berneuil-sur-Aisne),30.9,65,31.6,43.0
Antwerp (Soeurs Blanches),17.8,75,22.4,39.2
Antwerp,29.1,65,30.4,42.1
Rozoy-le-Jeune,38.5,65,36.9,47.3
Gerigny Priory,37.6,65,36.3,46.8
Notre-Dames-des-Fonts,37.2,65,36.0,46.6
Fonts-les-Alais Abbey,33.1,65,33.2,44.3
Abbaye-aux-Bois,33.1,65,33.2,44.3
Biaches,31.2,65,31.8,43.2
Couvent des Falcontines (Mariëndal),24.9,65,27.4,39.7
Monchy-le-Perreux,31.1,65,31.8,43.2
"Brayelle-les-Annay, la",33.5,65,33.4,44.5
"Le Vivier (Wancourt, Pas-de-Calais)",31.6,65,32.1,43.4
Peyreux,30.2,65,31.1,42.6
Pont-aux-Dames,31.7,65,32.2,43.5
Facons,19.7,65,23.8,36.8
Avesnes-les-Bapaume,37.3,45,36.1,39.6
S. Pere de les Puelles,54.1,75,52.3,60.9
"Les Ollieux (Montséret, Aude)",33.2,65,33.2,44.3
"Le Parc-aux-Dames (Auger-Saint-Vincent, Oise)",32.9,65,33.0,44.2
Abbey of l’Êule (Le Soler),34.7,75,34.3,48.7
Arras,1.6,45,11.1,19.6
"S. Maria de Valldonzella (Barcelona, Spain)",33.7,75,33.6,48.1
Abbaye Notre-Dame de Beaupré-sur-la-Lys,33.0,65,33.1,44.2
Abbaye des Dames d'Étrun,39.8,75,37.8,51.5
la Joie Abbey (St-Pierre-les-Nemours),31.5,65,32.0,43.4
l’Escalche Abbey (Prondines),35.5,65,34.8,45.6
Brasschaat,17.6,65,22.3,35.6
Oost-Eeklo,32.0,65,32.4,43.7
"Bethléem (Damme, Belgium)",31.8,65,32.2,43.5
Notre Dame du Lys,30.7,65,31.5,42.9
Charenton,27.7,65,29.4,41.3
"Le Lys (Dammarie-lès-Lys, Seine-et-Marne)",30.7,65,31.5,42.9
"Macquincourt Priory (Gouy-en-Artois, Pas-de-Calais)",37.1,65,36.0,46.5
Chartreuse de Gosnay,25.9,65,28.1,40.2
Boulancourt,36.0,65,35.2,45.9
Bussieres,35.5,65,34.8,45.6
Monestir de Pedralbes,39.3,75,37.5,51.3
Paraclet-des-Champs,32.1,65,32.5,43.7
Woestine,32.2,65,32.5,43.8
S. Maties de Barcelona,23.0,65,26.1,38.6
Montmartre Abbey,36.9,65,35.8,46.4
"Clairets, les",33.0,65,33.1,44.2
Paris (S. Antoine-des-Champs),33.6,75,33.5,48.1
Prieuré hospitalier du Temple,35.9,55,35.1,42.3
Villiers-aux-Nonnains,32.1,65,32.5,43.7
"Sorores del Saco, Santa Maria del Mar",0.8,65,10.5,26.2
Clairmarais,32.0,65,32.4,43.7
Amiens,18.3,45,22.8,29.0
"S. Feliu de Cadins (Cadins, Spain)",37.7,65,36.4,46.9
Beauvoir,31.3,65,31.9,43.3
Blandeques,34.2,65,33.9,44.9
Argenteuil,26.4,65,28.5,40.5
S. Maria de Valldaura,25.6,75,27.9,43.6
Abbaye de Ravensberghe,33.3,65,33.3,44.4
Bourbourg,38.7,65,37.1,47.4
S. Joan,4.8,45,13.3,21.4
Valldaura de Manresa,4.0,65,12.8,28.0
S. Llucia de Rajadell,12.5,45,18.7,25.7
"S. Maria del Camp (Veciana, Spain)",34.2,65,33.9,44.9
Mare de Déu de la Serra,41.0,65,38.7,48.7
S. Maria de Bovera,2.3,75,11.6,30.5
S. Maria de Vallsanta,19.8,65,23.8,36.8
S. Maria del Pedregal,24.1,75,26.9,42.8
S. Maria de Vallbona,47.8,75,43.4,56.0
Bonham,31.9,65,32.3,43.6
Maubisson,30.9,65,31.6,43.0
la Salvetat-de-Montdragon (Cluniac),29.8,45,30.8,35.4
Auchy,10.1,75,17.1,34.9
Willencourt,33.3,65,33.3,44.4
Beauvais,32.2,45,32.5,36.8
Prouille,32.9,65,33.0,44.2
Beaumont-les-Nonnains,0.1,45,10.1,18.8
"Lissac  (Lissac-et-Mouret, Lot)",28.4,65,29.9,41.7
S. Maria de Montsant,0.2,65,10.1,25.8
Mirepoix,25.9,65,28.1,40.2
"Beaulieu (Mirepoix, Ariège, France)",27.7,65,29.4,41.3
Épagne-Épagnette Abbey,34.4,65,34.1,45.0
Guînes Abbey,38.2,65,36.7,47.1
Bouhan,9.6,65,16.7,31.1
Bonrepos,13.6,75,19.5,36.9
Pigiers,34.9,65,34.4,45.3
Gomerfontaine Abbey,32.8,65,32.9,44.1
S. Maria de les Franqueses,14.9,45,20.4,27.1
Costejean Abbey,32.1,45,32.5,36.7
Abbaye de Voisins,32.5,65,32.7,43.9
S. Maria de Lleida,28.9,65,30.2,41.9
Coyroux Abbey,36.5,65,35.5,46.2
Derses Abbey,32.2,45,32.5,36.8
"Le Trésor (Bus-Saint-Rémy, Somme)",31.6,65,32.1,43.4
Sarrazac,3.3,65,12.3,27.6
Valnegre,32.9,75,33.0,47.7
Eccles,25.5,45,27.8,33.0
Brive-la-Gaillarde,41.0,45,38.7,41.7
"Bival (Nesle-Hodeng, France)",37.3,65,36.1,46.6
S. Hilari de Lleida,38.6,75,37.0,50.9
Chartres,31.7,65,32.2,43.5
Abbaye Notre-Dame de Landais,0.7,65,10.5,26.1
Toulouse (S. Sernin),27.6,45,29.3,34.2
Chartreuse de Toulouse,38.0,45,36.6,40.0
"Leyme (Cahors, Lot)",32.4,65,32.7,43.9
les Andelys,21.0,65,24.7,37.5
"Marenz Abbey (Carla-Bayle, Ariège)",35.0,65,34.5,45.4
Fontaine-Guérard Abbey,33.3,65,33.3,44.4
Oraison-Dieu,35.1,65,34.6,45.4
Minster in Thanet,19.2,65,23.4,36.5
Crabhouse,20.0,65,24.0,37.0
Elmham,5.6,65,13.9,28.9
Hospital of S. Paul,24.3,75,27.0,42.9
Carrow,22.5,65,37.4,41.8
Blackborough,21.8,65,25.2,37.9
Thetford,20.9,65,24.6,37.4
Marham,16.1,65,21.3,34.8
Shouldham Priory,19.2,65,27.6,37.8
Sorores poenitentiae Norwici,0.4,65,10.3,26.0
Norwich “Penitent Sisters”,0.4,65,10.3,26.0
Norwich,1.0,45,10.7,19.3
Knights Hospitaller at Carbrooke,2.2,75,11.5,30.5
Abbaye de Saint-Saëns,35.1,65,34.6,45.4
Limoges Abbey (Haute-Vienne),54.8,65,48.3,56.4
Real Monasterio de Santa María de Sigena,47.4,75,43.2,55.8
le Puy-St-Jean,4.5,65,13.1,28.3
Château de Condat,36.0,55,35.2,42.4
S. Magdalena de Montbenet,6.9,65,14.8,29.6
Manuel,24.5,45,27.1,32.5
Campsey,19.2,65,23.4,36.5
Flixton,15.6,75,20.9,38.0
S. Saviour,6.9,75,14.8,33.1
Bungay,19.8,75,23.8,40.3
Redlingfield,23.4,75,26.4,42.4
Évreux Abbey,41.1,65,38.8,48.8
S. Maria d'Eula,22.1,65,25.5,38.1
Castle of La Muela,43.9,55,40.7,46.8
Lyminge,18.6,65,23.0,36.2
Canterbury,5.6,65,13.9,28.9
S. Sexburga,22.3,65,25.6,38.2
Goujon Abbey (Auradé),36.9,65,35.8,46.4
Bondeville,36.0,65,35.2,45.9
Monce,32.5,65,32.7,43.9
Dereham,12.6,65,18.8,32.8
Fabas Abbey,36.0,75,35.2,49.4
la Virginité Abbey (Les Roches-l’Évêque),32.1,65,32.5,43.7
"Las Huelgas (Burgos, Spain)",47.2,65,43.0,52.2
Real Monasterio de Santa Clara de Carrión de los Condes,32.4,75,32.7,47.4
Rieunette,35.3,65,34.7,45.5
"Aubepierre (Rochechouart, France)",29.1,45,30.4,35.1
El Real Monasterio de Santa Clara de Tordesillas,37.3,65,36.1,46.6
Beaumont-les-Tours,3.8,75,12.6,31.4
Salenques,24.6,65,27.2,39.5
S. Pedro de las DueÃ±as,42.8,65,39.9,49.7
S Magdalena (Cáceres),41.5,75,39.0,52.5
"Les Préaux (Les Préaux, Eure)",42.2,65,39.5,49.4
West Peckham Preceptory,6.4,55,14.5,25.8
Poitiers (S. Croix),69.4,65,58.6,64.6
Poitiers (S. Trinite),46.2,45,42.3,44.6
Ely,11.1,65,17.8,32.0
S. Radegund,20.4,65,24.3,37.2
Swaffham Bulbeck,21.7,75,23.1,40.8
Chatteris,29.9,65,30.9,42.5
Waterbeach,3.2,75,12.2,31.0
"St John's Jerusalem, Sutton-at-Hone",10.6,55,17.4,28.2
Almeneches,16.9,65,21.8,35.2
Étival-en-Charnie Abbey,38.4,65,36.9,47.3
Barking,49.2,65,44.4,53.3
Ghazali,33.5,45,33.4,37.5
Elsing Spital,11.5,65,18.0,32.2
Clerkenwell,22.4,65,25.7,38.3
Iona,19.1,65,23.4,36.5
Wix,22.6,65,25.8,38.4
Castle Hedingham,19.4,65,23.6,36.6
Kilburn,22.8,65,25.9,38.5
Llanllugan,20.6,75,24.4,40.8
Stratford at Bow,26.4,65,28.5,40.5
Haliwell,23.2,65,26.2,38.7
Cell Faindche,37.5,65,36.2,46.7
Enach Árd,30.9,65,31.6,43.0
The Minories,13.8,75,19.6,37.0
London (Aldersgate),1.0,45,10.7,19.3
Clerkenwell Priory in London,24.6,55,27.2,36.0
Eltisley,16.1,65,21.3,34.8
Peykirk,17.0,65,21.9,35.3
Sixhills Double Monastery,21.9,65,25.3,38.0
Stixwould,22.7,65,25.9,38.5
Villers-Canivet,37.3,65,36.1,46.6
Horton,2.8,65,11.9,27.3
Fronsac Priory,38.8,45,37.1,40.5
Notre-Dame de la Presentation,17.0,65,21.9,35.3
Deir el-Sur Island (south-central 3rd Cataract),16.9,45,21.8,28.2
S. John of Beverly,42.2,65,39.5,49.4
Soba East – royal capital of Alwa,5.6,45,13.9,21.9
"Le Perray-aux-Nonains (Écouflant, Maine-et-Loire)",30.6,65,31.4,42.9
Harrold,22.5,65,25.7,38.3
Burnham,15.3,65,23.5,35.2
Ankerwyke,21.1,65,24.8,37.6
Langley,21.5,65,26.8,38.3
Stainfield,20.7,65,24.5,37.3
Stamford,21.5,75,22.8,40.6
Markyate,22.6,65,25.8,38.4
Sopwell,33.6,75,33.5,48.1
Westwood,21.5,75,24.4,41.1
Catesby,20.3,65,27.4,38.1
Gokewell,21.7,65,25.2,37.9
Greenfield,21.5,65,25.0,37.8
Legbourne,21.7,65,25.2,37.9
Sewardsley,21.5,65,25.0,37.8
Fosse,19.1,65,23.4,36.5
Heynings,20.2,65,24.1,37.0
Nuncotham,22.0,65,25.4,38.1
St. Mary de la Pré Abbey,22.2,65,25.5,38.2
Alvingham priory,21.9,65,25.3,38.0
Bullington Double Monastery,21.9,65,25.3,38.0
Catley Double Monastery,21.9,55,25.3,34.5
Haverholme Double Monastery,22.4,65,25.7,38.3
North Ormsby Double Monastery,21.9,65,25.3,38.0
Sempringham,22.9,65,16.0,35.6
Hospital of St James of Arundel,14.8,65,20.3,34.0
Bordeaux,5.6,45,13.9,21.9
Saintes (Notre-Dame),41.8,65,39.2,49.1
Orthez,25.9,65,28.1,40.2
"Monastery of the Holy Saviour,",39.4,45,37.6,40.8
Sompting Hospital,3.5,65,12.4,27.7
Easebourne,16.1,75,21.3,38.3
Lyminster,18.7,75,26.4,40.7
"S. Mary, Chichester",12.0,75,18.4,36.0
Nyoiseau,38.4,65,36.9,47.3
"Les Blanches (Mortain, Manche)",38.6,65,37.0,47.4
Reading,5.4,65,13.8,28.8
Arden,19.6,45,23.7,29.7
Nunmonkton,22.6,65,25.8,38.4
Seton,19.5,65,23.6,36.7
Baysdale,21.0,65,24.7,37.5
Keldholme,24.5,65,27.1,39.5
Rosedale,22.8,65,25.9,38.5
Sinningthwaite,21.4,65,28.2,38.7
Ellerton,19.6,65,23.7,36.7
Esholt,20.6,65,24.4,37.3
Hampole,21.5,65,25.0,37.8
Handale,22.8,65,25.9,38.5
Kirklees,24.7,65,27.3,39.6
Nunappleton,22.0,65,25.4,38.1
Swine,22.7,65,25.9,38.5
Wykeham,21.7,65,25.2,37.9
Arthington,21.7,65,25.2,37.9
Watton Double Monastery,21.9,65,28.6,39.0
Hartlepool,10.7,65,17.5,31.7
"S. John the Baptist, Oxford",6.8,75,31.4,38.0
Littlemore,20.9,65,24.6,37.4
Godstow,22.8,75,31.5,43.7
Abingdon,0.3,65,10.2,25.9
Winchester,32.2,65,32.5,43.8
Romsey,32.2,65,32.5,43.8
S. Mary Magdalene,20.5,75,24.3,40.7
Wherwell,31.1,65,31.8,43.2
Wintney,21.5,65,25.0,37.8
Lillechurch,21.0,75,24.6,41.0
S. Bernard-les-Bayonne,29.8,45,30.8,35.4
Brewood White Ladies,24.6,65,27.2,39.5
Farewell,21.8,65,23.9,37.6
Nuneaton,22.0,75,25.4,41.6
Polesworth,39.4,65,37.6,47.8
Pinley,22.5,75,25.7,41.8
Repton,9.9,65,16.9,31.3
Durham,2.6,65,11.8,27.2
Newcastle,25.5,65,27.8,40.0
Coldingham Monastery,20.2,65,24.1,37.0
Guizance,9.3,65,16.5,31.0
Clanfield,2.2,75,11.5,30.5
Rennes (S. Georges),42.7,65,39.9,49.7
Tamworth,3.7,65,12.6,27.8
Lacock,17.4,75,22.2,39.0
"Amesbury, Double Monastery",23.7,75,26.6,42.5
Tarrant,19.3,75,23.5,40.1
Shaftesbury,36.6,65,35.6,46.2
Wilton,39.9,75,49.6,55.1
Wimborne Double Monastery,9.6,75,16.7,34.6
Wimborne hospital,18.6,65,23.0,36.2
Berwick,13.3,65,19.3,33.2
Wareham (female),11.4,65,18.0,32.1
Kington S. Michael,21.4,65,25.0,37.7
Coldstream,25.6,65,27.9,40.1
Worcester,3.2,65,12.2,27.5
Boxwell,0.0,65,10.0,25.8
Wenlock,21.1,65,24.8,37.6
Abbotsbury (needs verification),28.9,65,30.2,41.9
S. John the Baptist,19.3,65,23.5,36.6
Barrow Gurney,18.9,75,23.2,39.8
Aconbury,19.1,65,33.8,39.6
North Berwick,24.6,65,27.2,39.5
Zandvliet,37.9,65,36.5,47.0
Haddington,26.0,65,28.2,40.3
"S. John the Baptist, Chester",25.5,75,27.8,43.5
S. Mary's Chester,22.4,75,25.7,41.8
Usk,22.5,75,25.7,41.8
Carlisle,6.4,65,14.5,29.3
Llansantffraid nuns,18.9,65,23.2,36.3
Oxenford,5.9,65,14.1,29.0
Port-Royal,33.0,65,33.1,44.2
S. Zacharie,29.4,45,30.6,35.2
Abbaye de La Vassin,33.5,65,33.4,44.5
la Joie-Notre-Dame (Hennebont),30.3,65,31.2,42.7
Elcho,20.7,65,24.5,37.3
Canonsleigh,14.4,65,20.1,33.8
"Deir el-Tila (Tila Island, 4th Cataract)",22.5,45,25.7,31.3
"Torphichen Preceptory, Scotland",49.8,55,44.8,50.1
"Ghazālī – Wādī Abū Dom, Bayuda Desert",33.8,45,33.6,37.7
Serra East (Dayr Mar Girgis),28.1,45,29.7,34.5
Buckland,20.2,65,24.1,37.0
S. Evoca,12.5,65,18.7,32.7
Douglas,17.6,65,22.3,35.6
Debeira West Dayr al-Banāt,28.1,65,29.7,41.5
LlanllÅ·r,20.0,65,22.6,36.5
Downpatrick,17.6,65,22.3,35.6
Ard Trea,23.1,65,26.2,38.7
Cluain Moccu Nois,26.7,65,28.7,40.7
Cell Adrochtae,67.1,65,57.0,63.3
Cell Craobhnat,19.3,65,23.5,36.6
Ballymore,14.1,65,19.9,33.7
Daire Meilli (Co. Tipperary),6.3,65,14.4,29.3
Cell Osnata,28.1,65,29.7,41.5
Domnach-ceirne,39.4,65,37.6,47.8
Cell Raghnaighe,28.1,65,29.7,41.5
Cell-chatiern,33.8,65,33.6,44.7
Cluain-fidhi,36.6,65,35.6,46.2
Cell Ingine Branin,39.4,65,37.6,47.8
Senchell Dumaigi,25.9,65,28.1,40.2
Mellifont,22.3,45,25.6,31.2
Kilmana,39.4,65,37.6,47.8
Debeira West Dayr el-ʿAdra,28.1,45,29.7,34.5
Monastery of Archangel Raphael,39.4,45,37.6,40.8
Cell Sléibe Cuilinn (Killeavy),58.7,65,51.1,58.6
Tempall na ferta,65.4,45,55.8,55.4
Lismullen,16.8,65,21.8,35.2
Tech Munnu,8.9,45,16.2,23.7
Cell Since,39.4,65,37.6,47.8
Ath-da-laarg (Ireland),24.2,65,26.9,39.3
Cell Dara,59.1,75,51.4,62.4
Cell Choca,19.7,65,23.8,36.8
Cluain Iraird,22.0,65,25.4,38.1
Jerpoint,20.2,45,24.1,30.0
Druim Dubháin,23.1,65,26.2,38.7
Killeigh,21.0,65,24.7,37.5
Cluain Eraird,43.0,65,40.1,49.8
Inis Leamhnachta,22.1,45,25.5,31.1
Cluain Bairend,37.5,65,36.2,46.7
Cell Liadhuin,33.8,65,33.6,44.7
Whistones,16.8,65,21.8,35.2
Cook Hill,20.1,65,24.1,37.0
"Penitent Sisters, Worcester",16.8,65,21.8,35.2
Cell Richille,40.4,65,38.3,48.4
Hospital Church,18.3,55,22.8,32.5
Addrigoole,36.0,65,35.2,45.9
Cell Glaissi,22.5,65,25.7,38.3
Enach Dúine (Annaghdown),36.3,65,35.4,46.1
Lisbon (Rua da Madalena),0.7,45,10.5,19.1
Monastery of Flor da Rosa,11.8,55,18.2,28.8
Castle of Belver,36.7,55,35.7,42.8
Igreja de Santa Luzia (Lisbon),49.3,55,44.5,49.9
Castle of Amieira do Tejo,6.7,55,14.7,26.0
Cell Éala (Killala),22.2,65,25.5,38.2
