order,countries,earliest_foundation,country_count,Image 1 Link,Image 2 Link,Image 3 Link,community_count,avg_lifespan,male_count,female_count
Albanian Orthodox,Albania,1282.0,1,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Ardenica_Monastery_%28by_Pudelek%29.JPG/1024px-Ardenica_Monastery_%28by_Pudelek%29.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Fratelli_%C3%A7etiri%2C_icona_di_san_giorgio_e_il_drago%2C_XVIII_secolo%2C_da_malzhanit_a_ardenic%C3%AB_lushnje.JPG/800px-Fratelli_%C3%A7etiri%2C_icona_di_san_giorgio_e_il_drago%2C_XVIII_secolo%2C_da_malzhanit_a_ardenic%C3%AB_lushnje.JPG,https://religiana.com/sites/default/files/styles/hero_image_small/public/images/2019-12/1945_0.jpg?itok=TEsNjXJU,1.0,743.0,1.0,0.0
Amadean,Italy,1370.0,1,https://upload.wikimedia.org/wikipedia/commons/c/cb/Vera_Beati_Amadei_Effigies_%28Historiarum_Seraphicae_Religionis%2C_1586%29%2C_cropped.png,https://upload.wikimedia.org/wikipedia/commons/c/cb/Vera_Beati_Amadei_Effigies_%28Historiarum_Seraphicae_Religionis%2C_1586%29%2C_cropped.png,https://upload.wikimedia.org/wikipedia/commons/c/cb/Vera_Beati_Amadei_Effigies_%28Historiarum_Seraphicae_Religionis%2C_1586%29%2C_cropped.png,1.0,61.0,0.0,1.0
Armenian Orthodox,Armenia,301.0,1,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/%D4%B7%D5%BB%D5%B4%D5%AB%D5%A1%D5%AE%D5%B6%D5%AB_%D5%84%D5%A1%D5%B5%D6%80_%D5%8F%D5%A1%D5%B3%D5%A1%D6%80.jpg/1024px-%D4%B7%D5%BB%D5%B4%D5%AB%D5%A1%D5%AE%D5%B6%D5%AB_%D5%84%D5%A1%D5%B5%D6%80_%D5%8F%D5%A1%D5%B3%D5%A1%D6%80.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Saint_Gr%C3%A9goire_et_la_foule%2C_1569.jpg/800px-Saint_Gr%C3%A9goire_et_la_foule%2C_1569.jpg,https://www.armenianchurch.org/images/cache/static_pages/1/16716111689183/67677accfd68de224274182590365c92-535x360.jpg,3.0,1327.6666666666667,3.0,0.0
Augustinian,"Austria, Belgium, Czech Republic, France, Germany, Hungary, Italy, Netherlands, Norway, Poland, Portugal, Republic of Ireland, Spain, United Kingdom",400.0,14,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Klosterneuburg_-_Stift_%281%29.JPG/1024px-Klosterneuburg_-_Stift_%281%29.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/27Klosterneuburg.JPG/1024px-27Klosterneuburg.JPG,https://www.visitingvienna.com/wp-content/uploads/2025/04/augustinerkirche1460.jpg,151.0,373.12582781456956,38.0,111.0
Beguine,"Belgium, France, Germany, Netherlands",1200.0,4,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/BegijnhofAntwerpen6.jpg/1024px-BegijnhofAntwerpen6.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Diest_-_Sint-Catharinakerk.jpg/1024px-Diest_-_Sint-Catharinakerk.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Kortrijk_-_Beguinage_and_Onze-Lieve-Vrouwekerk.jpg/1024px-Kortrijk_-_Beguinage_and_Onze-Lieve-Vrouwekerk.jpg,22.0,432.77272727272725,0.0,22.0
Benedictine,"Austria, Belgium, Denmark, France, Germany, Greece, Italy, Netherlands, Norway, Poland, Republic of Ireland, Romania, Spain, Switzerland, United Kingdom",400.0,15,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/2163_-_Salzburg_-_Stift_Nonnberg.JPG/1024px-2163_-_Salzburg_-_Stift_Nonnberg.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Salzburg_Stiftskirche_Nonnberg_Hochaltar_01.jpg/800px-Salzburg_Stiftskirche_Nonnberg_Hochaltar_01.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Salzburg_Stiftskirche_Nonnberg_Vorhalle_01.jpg/800px-Salzburg_Stiftskirche_Nonnberg_Vorhalle_01.jpg,387.0,492.4108527131783,63.0,322.0
Bridgettine,Poland,1416.0,1,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Bellotto_Bridgettine_Church_and_Arsenal.jpg/1200px-Bellotto_Bridgettine_Church_and_Arsenal.jpg,https://farm2.staticflickr.com/1619/24453235662_eb676b5244_c.jpg,https://img.atlasobscura.com/RYhgC2wemdml8AxjRWzvicDe5x3mUcCjkwIMqSON12c/rt:fit/w:1200/q:80/sm:1/scp:1/ar:1/aHR0cHM6Ly9hdGxh/cy1kZXYuczMuYW1h/em9uYXdzLmNvbS91/cGxvYWRzL3BsYWNl/X2ltYWdlcy81NmRh/MjVjM2FjNWY5NTEx/ODNfR2RhbnNrLUtv/c2Npb2xfc3dfQnJ5/Z2lkeV9PbHRhcnou/anBn.webp,2.0,256.5,0.0,0.0
Bulgarian Orthodox,Bulgaria,927.0,1,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/StGeorgeRotundaSofia.JPG/1024px-StGeorgeRotundaSofia.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Basilica_of_Hagia_Sofia%2C_Bulgaria.jpg/1024px-Basilica_of_Hagia_Sofia%2C_Bulgaria.jpg,https://upload.wikimedia.org/wikipedia/commons/8/8c/St._Theodor.jpg,9.0,855.0,7.0,2.0
Camaldolese,"Italy, Poland",1058.0,2,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/CloisterValhombrosa.JPG/1024px-CloisterValhombrosa.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Aedes_Althorpianae%3B_or%2C_Account_of_the_mansion%2C_books%2C_and_pictures%2C_at_Althorp%3B_the_residence_of_George_John%2C_earl_Spencer%2C_K.G._To_which_is_added_a_supplement_to_the_Bibliotheca_Spenceriana_%281822%29_%2814592018250%29.jpg/800px-thumbnail.jpg,https://www.terraincielo.it/media/catalog/category/amshopby/page/78_abbazia-di-vallombrosa.jpg,11.0,653.9090909090909,8.0,3.0
Carmelite,Poland,1397.0,1,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Church_of_the_Visitation_of_the_Blessed_Virgin_Mary%2C_facade%2C_19_Karmelicka_street%2C_Krak%C3%B3w%2C_Poland.jpg/1024px-Church_of_the_Visitation_of_the_Blessed_Virgin_Mary%2C_facade%2C_19_Karmelicka_street%2C_Krak%C3%B3w%2C_Poland.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Ko%C5%9Bci%C3%B3%C5%82NawiedzeniaNMP%28NaPiasku%29-UlicaKarmelicka-POL%2C_Krak%C3%B3w.jpg/1024px-Ko%C5%9Bci%C3%B3%C5%82NawiedzeniaNMP%28NaPiasku%29-UlicaKarmelicka-POL%2C_Krak%C3%B3w.jpg,https://upload.wikimedia.org/wikipedia/commons/e/e0/Krakow-kosciol_Nawiedzenia_NMP_MB_Piaskowa.jpg,,,,
Carthusian,"France, Italy, Poland",1084.0,3,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/La_Grande_Chartreuse.JPG/1024px-La_Grande_Chartreuse.JPG,https://upload.wikimedia.org/wikipedia/commons/c/ce/Coustumes_-_Chartreux.png,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Kartuizerembleem.jpg/800px-Kartuizerembleem.jpg,13.0,551.5384615384615,7.0,5.0
Cistercian,"Austria, Belgium, France, Germany, Italy, Luxembourg, Netherlands, Poland, Republic of Ireland, Romania, Spain, Sweden, Switzerland, Turkey, United Kingdom",115.0,15,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Heiligenkreuz_-_Stift%2C_Luftaufnahme.JPG/1024px-Heiligenkreuz_-_Stift%2C_Luftaufnahme.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Stift_Heiligenkreuz_%28Stiftshof%29_2011-09-14.jpg/1024px-Stift_Heiligenkreuz_%28Stiftshof%29_2011-09-14.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Heiligenkreuz_-_Stiftskirche%2C_Innenansicht_%28a%29.JPG/800px-Heiligenkreuz_-_Stiftskirche%2C_Innenansicht_%28a%29.JPG,391.0,488.0076726342711,45.0,345.0
Cistercian,"Austria, Belgium, France, Germany, Italy, Luxembourg, Netherlands, Poland, Republic of Ireland, Romania, Spain, Sweden, Switzerland, Turkey, United Kingdom",115.0,15,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Zaraka_Monastiri.jpg/1024px-Zaraka_Monastiri.jpg,https://middleware.visitpeloponnese.com/api/middleware/GetFullScreenLandscapeImage/Peloponnese_Stymfalia_02_1829198558.JPG,https://middleware.visitpeloponnese.com/api/middleware/GetFullScreenLandscapeImage/Peloponnese_Stymfalia_01_439735108.JPG,391.0,488.0076726342711,45.0,345.0
Cistercian,"Greece, Norway",1150.0,2,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Heiligenkreuz_-_Stift%2C_Luftaufnahme.JPG/1024px-Heiligenkreuz_-_Stift%2C_Luftaufnahme.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Stift_Heiligenkreuz_%28Stiftshof%29_2011-09-14.jpg/1024px-Stift_Heiligenkreuz_%28Stiftshof%29_2011-09-14.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Heiligenkreuz_-_Stiftskirche%2C_Innenansicht_%28a%29.JPG/800px-Heiligenkreuz_-_Stiftskirche%2C_Innenansicht_%28a%29.JPG,391.0,488.0076726342711,45.0,345.0
Cistercian,"Greece, Norway",1150.0,2,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Zaraka_Monastiri.jpg/1024px-Zaraka_Monastiri.jpg,https://middleware.visitpeloponnese.com/api/middleware/GetFullScreenLandscapeImage/Peloponnese_Stymfalia_02_1829198558.JPG,https://middleware.visitpeloponnese.com/api/middleware/GetFullScreenLandscapeImage/Peloponnese_Stymfalia_01_439735108.JPG,391.0,488.0076726342711,45.0,345.0
Clarisse,"Denmark, Germany, Italy, Poland, Spain, Sweden",1092.0,6,https://upload.wikimedia.org/wikipedia/commons/6/64/Sankt_Clara_Kloster%2C_Copenhagen.jpg,https://upload.wikimedia.org/wikipedia/commons/2/24/Klareboderne_%28H._G._F._Holm%29.jpg?20170321065453,https://upload.wikimedia.org/wikipedia/commons/6/64/Sankt_Clara_Kloster%2C_Copenhagen.jpg,41.0,430.609756097561,1.0,40.0
Cluniac,"France, United Kingdom",1055.0,2,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Cluny_Abbey_%287304580692%29.jpg/1024px-Cluny_Abbey_%287304580692%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Charpente_du_Farinier_de_l%27Abbaye_de_Cluny.jpg/1024px-Charpente_du_Farinier_de_l%27Abbaye_de_Cluny.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Panorama_Abbaye_de_Cluny.jpg/1024px-Panorama_Abbaye_de_Cluny.jpg,3.0,553.3333333333334,1.0,2.0
Columban,United Kingdom,640.0,1,https://cadw.gov.wales/sites/default/files/styles/banner_image/public/2019-05/NCX-SC01-1516-0468.jpg?h=fdc7d52c&itok=a8CbeLE0,https://upload.wikimedia.org/wikipedia/commons/8/8b/Holywell%2C_St_Winefride_%2835704689692%29_cropped.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Statue_of_St_Winefride%2C_19th_century_%28cropped%29.jpg/800px-Statue_of_St_Winefride%2C_19th_century_%28cropped%29.jpg,1.0,360.0,0.0,1.0
Coptic Orthodox,"Egypt, Israel, Syria",300.0,3,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Kairo_Hanging_Church_BW_1.jpg/800px-Kairo_Hanging_Church_BW_1.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Coptic_monks.jpg/1024px-Coptic_monks.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Bertha_M%C3%BCller_-_portrait_d%27une_copte.webp/800px-Bertha_M%C3%BCller_-_portrait_d%27une_copte.webp.png,70.0,1437.9,54.0,16.0
Dominican,"France, Germany, Italy, Poland, Switzerland",1167.0,5,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Monast%C3%A8re_Prouilhe_2.jpg/1024px-Monast%C3%A8re_Prouilhe_2.jpg,https://cdn.prod.website-files.com/606dd60f5289e43b16366e84/65e099b808c3bf9a87de7947_DSC_0084.jpg,https://cdn.prod.website-files.com/606dd60f5289e43b16366e84/65e09995bba94cefb13ebf4c_Vue%20principale.jpeg,28.0,440.75,3.0,24.0
Early Christian,Italy,461.0,1,https://upload.wikimedia.org/wikipedia/commons/c/c8/SantoStefanoRotondoByRoeslerFranz.jpg,https://upload.wikimedia.org/wikipedia/commons/a/af/SStefanoRotondoVsec.png,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Celio_-_santo_Stefano_rotondo_1792st.JPG/1024px-Celio_-_santo_Stefano_rotondo_1792st.JPG,1.0,1564.0,0.0,1.0
Early Irish Monastic,"Republic of Ireland, United Kingdom",400.0,2,https://jryantheaed.wordpress.com/wp-content/uploads/2015/08/clonmacnoise.jpg,https://jryantheaed.wordpress.com/wp-content/uploads/2015/08/skellig-michael.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Glendalough_monastery.jpg/774px-Glendalough_monastery.jpg,21.0,551.7619047619048,0.0,21.0
Early Nubian Christian,"Egypt, Sudan",550.0,2,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/MNW-Faras_Gallery_model_of_the_cathedral.jpg/1024px-MNW-Faras_Gallery_model_of_the_cathedral.jpg,https://upload.wikimedia.org/wikipedia/commons/0/0e/Church_dongola_%28cropped%29.png,https://upload.wikimedia.org/wikipedia/commons/d/d6/Georgios_II_of_Makuria.jpg,13.0,488.0769230769231,12.0,1.0
